cgpa,iq,communication_skill,internships,projects,coding_skill,attendance,aptitude_score,logical_reasoning,placement
,121.0,6,2,2,2,40.0,59.0,51.0,1
6.83,116.0,3,1,1,3,69.9,68.2,57.5,0
7.78,105.0,8,1,3,3,57.9,70.3,57.5,1
8.83,97.0,3,0,4,8,76.6,46.3,72.1,1
6.72,113.0,2,1,3,7,71.9,89.5,30.0,0
6.72,109.0,3,2,2,6,64.6,71.1,51.6,0
8.9,115.0,6,1,3,10,76.3,61.1,78.8,1
7.92,112.0,2,0,3,10,76.2,68.3,68.4,0
6.44,117.0,8,1,4,4,93.2,79.0,79.1,1
7.65,98.0,1,1,3,9,83.2,43.0,71.4,1
6.44,120.0,7,0,3,1,77.6,63.4,43.7,0
6.44,107.0,2,1,3,2,63.6,47.2,69.9,0
,129.0,10,2,2,4,62.1,100.0,61.5,1
4.7,96.0,6,1,4,3,82.2,67.1,94.0,0
4.93,125.0,2,0,2,1,,47.3,72.0,0
6.33,107.0,2,0,3,5,78.0,100.0,67.9,0
5.78,97.0,10,2,1,7,86.7,57.0,70.0,0
7.38,99.0,8,1,3,2,56.8,61.9,67.0,1
5.91,101.0,2,2,3,5,91.8,62.9,66.6,1
5.31,110.0,7,2,1,6,86.6,52.3,56.0,1
8.76,111.0,3,2,1,7,50.3,68.7,68.0,1
6.73,,8,1,3,1,100.0,31.8,74.2,0
7.08,104.0,7,2,3,7,78.9,81.3,75.9,1
5.29,130.0,8,1,2,4,69.3,48.1,74.1,1
6.35,125.0,7,3,1,8,81.2,58.8,82.6,1
7.13,110.0,6,1,3,4,63.3,76.3,76.8,0
,,7,1,1,6,81.6,61.9,69.4,0
7.45,106.0,5,1,2,9,65.5,62.5,42.8,1
6.28,112.0,7,0,1,5,99.2,49.8,42.9,0
6.65,92.0,1,2,1,4,75.7,96.4,56.3,0
6.28,101.0,1,0,1,8,82.8,73.0,60.7,0
9.22,84.0,9,1,2,9,65.6,48.8,81.0,1
6.98,109.0,5,1,1,4,84.8,67.7,30.0,1
5.73,112.0,5,2,2,3,74.8,47.7,44.5,1
7.99,99.0,3,2,2,8,58.1,90.8,57.1,1
5.53,123.0,5,2,2,5,72.1,68.0,45.0,0
7.25,90.0,3,2,2,2,98.2,50.4,48.0,0
4.65,87.0,9,0,4,10,85.3,75.5,52.5,0
5.41,107.0,9,0,1,9,70.5,60.8,45.8,1
7.24,117.0,6,2,2,3,52.6,45.7,48.4,1
7.89,125.0,1,1,1,2,65.0,70.7,80.4,0
7.21,99.0,7,1,1,1,58.1,70.3,69.2,1
6.86,117.0,7,0,3,8,52.9,82.1,71.5,1
6.64,104.0,10,1,3,3,84.4,66.0,59.5,1
5.23,102.0,10,0,4,7,75.7,66.6,75.2,1
6.14,115.0,4,2,3,1,96.5,67.4,72.7,0
6.45,112.0,8,1,5,1,63.0,88.9,69.0,1
8.27,86.0,6,1,1,9,75.0,60.3,50.2,1
7.41,122.0,4,0,1,8,58.3,72.0,53.4,1
4.88,121.0,4,2,0,3,67.9,74.3,75.9,0
7.39,97.0,2,1,1,6,72.3,70.2,52.2,0
6.54,109.0,2,2,2,3,70.5,59.8,40.7,1
6.19,110.0,4,2,3,4,75.6,66.8,52.0,0
7.73,108.0,5,1,0,1,86.7,63.6,83.4,1
8.24,98.0,8,2,4,5,85.4,94.4,52.0,1
8.12,96.0,6,4,4,1,65.8,58.1,64.9,1
5.99,104.0,4,2,2,1,74.6,51.3,50.8,0
6.63,119.0,7,2,1,10,84.5,64.9,71.5,0
7.4,111.0,8,1,1,7,87.4,63.8,68.1,1
8.17,100.0,2,1,1,6,67.1,68.0,37.6,1
6.42,114.0,7,0,1,2,83.5,58.1,64.0,0
6.78,80.0,2,0,2,2,79.0,66.7,34.8,0
5.67,118.0,2,4,2,7,62.2,66.9,51.7,1
5.56,84.0,8,1,2,1,84.6,78.6,59.8,0
7.98,100.0,2,2,5,2,76.8,66.4,87.7,1
8.63,91.0,9,2,3,8,54.1,66.5,64.8,1
6.91,89.0,1,2,4,6,71.5,72.7,48.5,0
8.2,118.0,9,4,1,2,75.5,78.0,55.2,1
7.43,99.0,1,1,2,7,67.7,50.2,73.9,0
6.23,109.0,10,0,3,4,89.7,46.2,48.7,0
7.43,104.0,10,1,1,2,90.2,90.4,76.5,1
8.85,110.0,2,0,0,6,70.4,75.6,52.2,0
6.96,105.0,6,0,3,9,69.1,61.7,46.3,0
8.88,89.0,6,1,3,9,73.4,65.3,52.6,1
4.0,116.0,1,2,2,8,72.6,59.1,35.8,0
7.99,99.0,7,1,2,3,67.9,68.2,30.0,1
7.1,86.0,8,1,2,3,40.0,50.4,58.8,0
6.64,99.0,2,2,0,2,96.1,77.6,59.0,0
7.11,123.0,8,0,2,5,75.0,67.6,63.8,1
4.61,115.0,9,0,1,4,72.9,68.2,58.7,0
6.74,100.0,6,2,1,7,78.9,51.6,94.9,1
7.43,100.0,5,1,4,4,74.0,72.9,62.5,0
8.77,,9,2,3,9,69.8,51.9,39.4,1
6.38,129.0,9,0,3,2,62.9,54.6,43.2,1
6.03,109.0,1,2,2,6,52.9,66.3,60.0,1
6.4,110.0,3,1,2,7,58.7,100.0,53.5,0
8.1,117.0,9,1,2,4,61.6,67.6,41.6,1
7.39,107.0,2,1,1,6,82.8,,59.1,0
6.36,,4,2,1,7,83.7,55.4,59.3,0
7.62,102.0,4,1,3,4,64.4,75.3,83.9,1
7.12,104.0,2,1,3,8,43.0,48.1,46.3,1
8.16,104.0,3,3,3,9,75.1,77.5,53.7,1
6.16,113.0,3,2,2,1,69.9,67.4,83.9,0
6.61,105.0,1,1,4,7,69.6,79.9,64.9,1
,113.0,6,2,1,9,86.5,56.6,46.2,1
5.24,,8,1,2,10,76.7,55.4,49.3,0
,105.0,3,0,2,5,63.3,73.5,41.8,0
7.31,81.0,5,1,3,2,60.5,64.9,61.2,1
7.01,115.0,1,3,5,10,71.8,64.0,75.5,1
6.72,109.0,10,3,2,6,64.1,88.5,84.5,1
5.3,116.0,7,1,4,7,74.1,74.1,37.7,0
6.5,80.0,10,1,4,2,87.3,35.2,73.0,1
6.59,130.0,1,0,1,2,58.4,77.0,62.5,0
6.04,103.0,9,4,2,10,76.1,75.5,56.1,1
6.81,118.0,8,3,2,10,86.0,82.8,53.7,1
7.48,92.0,7,1,5,1,74.0,50.9,31.2,0
9.26,112.0,10,2,1,4,83.7,69.9,69.6,1
7.21,92.0,7,2,3,7,71.6,66.7,40.2,1
7.31,97.0,5,1,2,9,77.0,50.6,48.8,1
6.91,127.0,5,0,3,3,80.3,79.2,66.3,1
4.7,102.0,5,1,2,7,68.1,61.4,32.8,0
6.97,107.0,1,2,3,7,98.9,82.3,40.2,1
7.07,115.0,8,2,4,7,81.9,53.9,78.3,1
9.96,110.0,1,1,3,2,90.6,43.1,61.8,0
6.77,106.0,4,3,4,6,87.9,61.4,50.1,1
7.36,109.0,9,0,1,2,78.9,68.5,61.9,0
6.96,133.0,9,1,3,6,91.6,57.0,70.0,1
5.6,104.0,5,2,1,10,77.3,30.0,76.9,1
8.37,107.0,4,2,2,3,66.2,70.8,43.3,1
7.9,117.0,3,1,3,2,75.2,70.7,44.6,0
7.95,,3,1,2,6,62.9,75.3,69.1,0
5.91,119.0,5,0,2,2,49.8,59.3,69.6,0
8.68,112.0,10,1,6,5,64.8,58.5,39.8,1
5.32,91.0,1,1,1,2,75.9,86.6,45.2,0
7.7,124.0,5,0,3,3,87.7,41.4,57.1,1
9.63,91.0,6,2,2,3,64.7,61.3,60.4,1
5.81,108.0,7,1,1,6,87.1,67.1,60.8,1
,95.0,9,2,1,6,60.5,74.1,39.6,1
7.12,104.0,3,2,4,10,64.0,67.5,60.6,1
6.4,108.0,2,0,4,3,92.4,51.2,49.2,0
5.14,108.0,3,0,4,3,75.6,82.5,42.5,0
7.08,110.0,9,2,5,1,72.9,65.0,59.8,1
5.73,124.0,7,1,1,7,77.8,40.0,58.3,0
7.57,110.0,9,2,2,8,60.5,68.1,72.0,1
,102.0,2,2,3,2,71.0,72.1,47.1,1
8.86,116.0,5,2,2,4,75.0,94.4,63.5,1
6.06,119.0,4,3,2,10,89.8,71.1,36.5,1
6.61,90.0,2,1,2,7,55.0,42.8,55.9,0
7.98,112.0,9,1,3,8,96.2,43.3,67.0,1
5.52,113.0,9,1,3,1,73.5,83.9,68.2,0
7.27,101.0,6,0,1,4,,53.0,68.3,0
8.57,121.0,6,1,2,6,59.5,41.8,72.1,1
5.07,103.0,8,1,3,3,78.3,80.0,53.3,0
7.22,106.0,6,3,3,5,58.8,57.9,67.4,1
7.31,102.0,1,1,1,10,68.3,,88.0,0
7.94,105.0,4,1,3,9,72.0,51.3,53.0,1
5.52,91.0,7,1,0,3,88.7,87.1,80.7,0
5.42,87.0,2,0,2,5,87.2,78.1,73.1,0
7.63,124.0,9,0,3,8,67.3,54.2,56.0,1
7.36,94.0,8,1,3,6,72.4,40.1,57.3,0
7.3,93.0,8,0,2,4,55.9,99.6,61.8,0
7.42,80.0,7,1,3,8,50.5,61.8,72.3,0
6.18,,4,2,3,3,60.3,53.6,66.0,0
7.28,89.0,2,2,3,3,88.5,85.8,52.9,1
7.35,124.0,3,2,3,4,84.4,79.2,30.0,1
,117.0,6,0,3,9,79.6,82.7,70.1,1
9.24,96.0,5,2,2,5,57.5,63.5,31.0,1
7.57,132.0,8,2,1,8,66.5,93.2,39.5,1
5.57,,6,0,2,6,64.7,45.3,54.0,0
7.79,101.0,6,2,2,3,73.0,56.7,41.8,1
5.83,80.0,1,1,3,8,72.3,70.8,64.8,0
7.94,132.0,4,2,2,9,63.0,82.5,55.6,1
8.39,88.0,5,4,2,8,79.2,74.9,71.8,1
6.02,85.0,3,0,0,4,77.7,63.8,35.9,0
8.16,117.0,9,2,2,6,66.3,57.9,50.1,1
7.5,134.0,1,1,2,1,78.7,,60.1,1
7.99,121.0,6,3,3,4,88.5,76.5,60.6,1
9.28,111.0,6,1,0,8,92.1,51.9,70.4,1
6.71,112.0,10,2,3,1,80.9,51.4,46.3,1
6.1,115.0,5,0,4,3,80.5,56.8,53.0,0
5.93,,5,1,1,1,72.1,54.9,67.6,1
6.02,108.0,10,0,2,9,87.4,80.4,30.0,1
6.91,106.0,5,3,1,2,62.2,71.5,65.8,0
7.41,104.0,6,2,3,9,86.0,73.4,71.5,1
7.33,95.0,8,2,3,4,71.5,67.9,40.0,0
7.99,101.0,2,3,2,2,92.9,68.6,55.3,0
7.02,84.0,6,0,2,4,82.1,41.3,82.4,0
8.74,103.0,1,1,4,10,74.2,76.9,69.9,1
6.68,93.0,4,0,1,6,72.2,56.5,66.7,0
10.0,91.0,10,0,0,7,81.3,64.5,74.9,1
7.75,107.0,3,0,4,3,80.7,57.9,87.1,1
5.97,121.0,9,1,3,3,70.2,67.2,60.3,1
5.71,116.0,3,1,4,10,76.1,73.6,53.9,1
7.58,86.0,6,0,3,8,85.8,49.9,74.8,1
6.73,93.0,1,0,3,5,58.6,68.8,57.2,0
7.86,116.0,6,0,2,4,83.7,58.3,46.1,0
7.57,93.0,4,3,3,7,81.3,84.8,51.9,1
6.91,102.0,8,2,4,7,89.2,48.3,64.7,1
5.98,,9,3,3,9,66.4,50.0,53.3,1
